region,sub.region,country,year,x,y
Asia,Southern Asia,Afghanistan,2017,22,8
Europe,Southern Europe,Albania,2017,15,9
Africa,Northern Africa,Algeria,2017,13,11
Africa,Middle Africa,Angola,2015,13,17
North America,Caribbean,Antigua and Barbuda,2017,7,4
South America,South America,Argentina,,6,14
Asia,Western Asia,Armenia,,20,6
Europe,Western Europe,Austria,2017,15,6
Asia,Western Asia,Azerbaijan,2017,21,7
North America,Caribbean,Bahamas,2016,4,2
Asia,Western Asia,Bahrain,2017,20,9
Asia,Southern Asia,Bangladesh,2017,23,8
North America,Caribbean,Barbados,2017,8,6
Europe,Eastern Europe,Belarus,2017,17,4
Europe,Western Europe,Belgium,2016,13,5
North America,Central America,Belize,2017,2,3
Africa,Western Africa,Benin,2017,15,14
Asia,Southern Asia,Bhutan,2017,24,7
South America,South America,Bolivia (Plurinational State of),2017,6,11
Europe,Southern Europe,Bosnia and Herzegovina,2017,15,7
Africa,Southern Africa,Botswana,2013,15,18
South America,South America,Brazil,2016,8,11
Asia,South-Eastern Asia,Brunei Darussalam,2017,25,12
Europe,Eastern Europe,Bulgaria,2016,17,7
Africa,Western Africa,Burkina Faso,2017,13,13
Africa,Eastern Africa,Burundi,2017,15,16
Africa,Western Africa,Cabo Verde,2017,10,15
Asia,South-Eastern Asia,Cambodia,2017,25,10
Africa,Middle Africa,Cameroon,2017,14,15
North America,Northern America,Canada,,1,1
Africa,Middle Africa,Central African Republic,2016,16,14
Africa,Middle Africa,Chad,2016,14,13
South America,South America,Chile,2017,6,13
Asia,Eastern Asia,China,2017,24,6
South America,South America,Colombia,2017,5,9
Africa,Eastern Africa,Comoros,2017,18,18
Africa,Middle Africa,Congo,2012,14,16
North America,Central America,Costa Rica,2016,3,7
Africa,Western Africa,Côte d'Ivoire,2017,12,15
Europe,Southern Europe,Croatia,2016,14,7
North America,Caribbean,Cuba,2017,4,3
Asia,Western Asia,Cyprus,2015,17,10
Europe,Eastern Europe,Czechia,2013,15,5
Asia,Eastern Asia,Democratic People's Republic of Korea,2018,25,6
Africa,Middle Africa,Democratic Republic of the Congo,2015,15,15
Europe,Northern Europe,Denmark,2014,14,3
Africa,Eastern Africa,Djibouti,2018,17,13
North America,Caribbean,Dominica,2016,7,7
North America,Caribbean,Dominican Republic,2017,6,4
South America,South America,Ecuador,2016,5,10
Africa,Northern Africa,Egypt,2017,16,11
North America,Central America,El Salvador,2017,1,5
Africa,Middle Africa,Equatorial Guinea,2015,13,16
Africa,Eastern Africa,Eritrea,2017,16,13
Europe,Northern Europe,Estonia,2016,17,2
Africa,Southern Africa,Eswatini,2016,16,19
Africa,Eastern Africa,Ethiopia,,17,14
Oceania,Melanesia,Fiji,2016,27,19
Europe,Northern Europe,Finland,2016,17,1
Europe,Western Europe,France,2013,12,5
Africa,Western Africa,Gambia,2018,12,12
Asia,Western Asia,Georgia,2017,21,6
Europe,Western Europe,Germany,2016,14,4
Africa,Western Africa,Ghana,2018,13,14
Europe,Southern Europe,Greece,2016,16,9
North America,Caribbean,Grenada,2017,7,8
North America,Central America,Guatemala,2017,1,4
Africa,Western Africa,Guinea,2016,11,14
South America,South America,Guyana,2012,6,10
North America,Central America,Honduras,2017,2,5
Europe,Eastern Europe,Hungary,2016,16,6
Europe,Northern Europe,Iceland,2015,10,1
Asia,Southern Asia,India,2016,22,9
Asia,South-Eastern Asia,Indonesia,2017,25,13
Asia,Southern Asia,Iran (Islamic Republic of),2017,20,8
Europe,Northern Europe,Ireland,2012,10,4
Asia,Western Asia,Israel,2016,18,10
Europe,Southern Europe,Italy,2016,13,7
North America,Caribbean,Jamaica,2017,4,4
Asia,Eastern Asia,Japan,2016,27,6
Asia,Western Asia,Jordan,2017,18,8
Asia,Central Asia,Kazakhstan,2018,24,5
Africa,Eastern Africa,Kenya,2015,17,15
Oceania,Micronesia,Kiribati,2017,27,17
Asia,Western Asia,Kuwait,2017,19,8
Asia,Central Asia,Kyrgyzstan,2017,23,6
Asia,South-Eastern Asia,Lao People's Democratic Republic,2017,25,9
Europe,Northern Europe,Latvia,2016,17,3
Asia,Western Asia,Lebanon,2017,18,9
Africa,Southern Africa,Lesotho,2017,17,19
Africa,Western Africa,Liberia,2016,12,14
Europe,Northern Europe,Lithuania,2016,16,4
Europe,Western Europe,Luxembourg,2016,13,6
Africa,Eastern Africa,Madagascar,2016,19,19
Africa,Eastern Africa,Malawi,2015,15,17
Asia,South-Eastern Asia,Malaysia,2017,24,11
Asia,Southern Asia,Maldives,2017,21,12
Africa,Western Africa,Mali,2017,14,12
Europe,Southern Europe,Malta,2016,11,8
Oceania,Micronesia,Marshall Islands,,26,15
Africa,Western Africa,Mauritania,2016,11,12
Africa,Eastern Africa,Mauritius,2017,19,20
North America,Central America,Mexico,2017,1,3
Oceania,Micronesia,Micronesia (Federated States of),2015,26,16
Asia,Eastern Asia,Mongolia,2017,25,5
Europe,Southern Europe,Montenegro,,15,8
Africa,Northern Africa,Morocco,2017,12,11
Africa,Eastern Africa,Mozambique,2017,16,17
Asia,South-Eastern Asia,Myanmar,2017,24,8
Africa,Southern Africa,Namibia,,15,19
Oceania,Micronesia,Nauru,2016,26,17
Asia,Southern Asia,Nepal,2017,23,9
Europe,Western Europe,Netherlands,2016,13,4
Oceania,Australia and New Zealand,New Zealand,2017,26,21
Africa,Western Africa,Niger,2017,15,12
Africa,Western Africa,Nigeria,,13,15
